Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1/2-SBSRNA4,798482.8779222125,-7.18243508128023e-06,0.0014624557907942529,0.24991202507771984,0.8026553835772811,0.8935783947378674
A1BG,3480130.296026077,-3.0408184967700476e-05,0.0011550142094362936,-5.255040632677853,1.4799179431999898e-07,2.5975617584860647e-06
A1BG-AS1,704781.1239648986,-6.390870242808365e-06,0.0012625970534160568,-2.29372958217034,0.021806036437194552,0.06409918364749313
A1CF,8945.605701786739,-4.6479591617552713e-07,0.0013512865986842573,-0.3638360751388423,0.7159804221437108,0.8396461736879145
A2LD1,1694971.693576182,-0.00017392889764827999,0.0014671128535895036,-0.1128126531597138,0.9101790866148587,0.9544553433422293
A2M,278944312.0098059,2.1215293103003354,0.27818780180865943,3.965468777211113,7.325184099541345e-05,0.0005428201671530324
A2ML1,167352.0155799102,-3.528387393608757,0.5503408610981316,3.644312177736517,0.00026810784132364705,0.001640470853941693
A2MP1,216159.8545807709,-1.3137012730224296e-05,0.0014512572037296732,0.0354807573177542,0.9716963901493844,0.9864197664544058
A4GALT,10740682.896421257,-3.505408074754671e-05,0.0014469596609072515,0.021380385737196052,0.98294221990413,0.9920484867554106
A4GNT,66371.65025754823,-6.6605247129024084e-06,0.002402914843187145,1.5324637716171994,0.12540803103379422,0.25322454488455237
AA06,1292.5839985269035,1.18307850873131e-07,0.001700395605656901,4.268083589729706,1.9715945251883324e-05,0.00017785634085762552
AAA1,4764.23842469276,2.7662914099273554e-07,0.00157833288347318,0.2275538607213806,0.8199930926903851,0.9039716222454399
AAAS,19476538.75358606,-0.353162748181119,0.20003036717218767,-2.122973937988265,0.0337560358412732,0.09078266293490696
AACS,19206165.206507064,-0.7455723617905846,0.3789088052252205,-0.5270003236296015,0.5981933637359327,0.7567717835429433
AACSP1,14972.654229374913,6.477569684839857e-06,0.0018874507370503393,0.69802868131528,0.4851592574796755,0.6641193883566451
AADAC,2511643.340996113,4.6088429103530295,1.8846271364339457,3.428298531929666,0.0006073771598166397,0.0033092550333981004
AADACL2,98682.53200551533,8.553028572102993e-07,0.005168580944702298,2.517317020542678,0.011825237475862787,0.03893711527323626
AADACL3,9518.470686200006,-4.377751407451796e-07,0.001094782155952611,0.8709176246399343,0.3837991327502739,0.5693717505832856
AADACL4,10532.57991534701,2.4437641343429394e-07,0.005214001168212903,1.609671153863414,0.10746966554880524,0.2257830405505516
AADAT,1891272.1044725478,-1.8672532413593725e-05,0.0014080198513858947,-0.34320915969834537,0.731441114291457,0.8485108962447934
AAGAB,25187381.35230051,-0.7414282296980687,0.18717329981035913,-4.240988728039911,2.2253731370938037e-05,0.00019610985346721246
AAK1,2459360.878938758,-4.9258268297636856e-05,0.0014957062009319172,1.0166391287783427,0.30932513285185825,0.4921142318657692
AAMP,62088470.52977967,0.8635017191264825,0.30144030159471263,-2.080894366216508,0.03744357594139134,0.09867560067542738
AANAT,48772.0552837641,-8.994505010150275e-07,0.0013784073679112482,-0.4929633549323147,0.6220384803242688,0.7757311374282981
AARS,47757243.27246049,0.6714763434547705,0.3301864949271654,-2.2299741469735137,0.0257491592532986,0.07330846607290045
AARS2,4883217.077258928,-0.4652894154498709,0.23985559276771415,-3.0264598621865972,0.0024743566955442997,0.010726758011832994
AARSD1,6563059.411685942,0.00033170610294100774,0.0015073978807367344,-0.893390207683374,0.3716482448077505,0.5571444500054356
AASDH,5049448.007493298,-0.0004423656238630392,0.0018135821673406982,1.7242943764285397,0.0846547139880709,0.18812355505688497
AASDHPPT,16670306.31352309,-3.513125335510876e-05,0.0014186574787614045,-0.49215502884646517,0.6226097531487179,0.7760879174417462
AASS,4054267.909319198,1.4897110919975014,0.41172259043592585,4.285618226488364,1.8223170322627694e-05,0.00016631873283711517
AATF,28802547.422274817,-0.8892604712254767,0.23175889868038352,-3.263910086447578,0.0010988603193641752,0.005431136947325193
AATK,1197646.4096950714,-0.9239792493263542,1.614932207227858,-3.28384896108673,0.001023997852256934,0.005135222287186014
AATK-AS1,29846.288350242765,-2.091876731112729e-07,0.0013028713246687866,-0.3643928836480499,0.7155646487644876,0.8394366996498114
ABAT,9684385.1621875,-0.8141916657758683,1.297716003317309,-2.959563227580661,0.003080754765279297,0.012856960052073436
ABCA1,6740925.699082738,1.3878741463059499,0.321623988732796,4.895671172147175,9.79707705488764e-07,1.326133349214173e-05
ABCA10,1603197.3843601136,3.161543852823972,0.5784523413376549,5.9001249675500285,3.6322635149613786e-09,9.94098099623064e-08
ABCA11P,4091615.946159628,0.0001749826963579266,0.0015181600089646506,0.6552575137012835,0.5123019702261566,0.6877975373704479
ABCA12,706318.9365354772,7.913386429772958e-05,0.001312670639113734,-0.7266301782501555,0.4674525361095664,0.649314683538054
ABCA13,48604.44731082621,3.281558321727452e-06,0.002165773319439426,1.7093587663010885,0.08738451389767724,0.19309877288095612
ABCA17P,172172.48548944673,-1.7142407637744324,0.36357996975782975,-2.5850580173666757,0.009736261269576267,0.03314292624511312
ABCA2,7942959.718244773,0.00010908179503243166,0.0013983150524871056,-0.8562620452062256,0.39185285022116323,0.5776076369376086
ABCA3,11718009.719332425,-0.8495740780637747,0.44639032388612476,-3.8100811167956787,0.00013892120353562834,0.0009357464385314541
ABCA4,1029673.484977986,-4.8923218652524084e-05,0.0013030213791318296,-0.9313319767474614,0.35168186592601913,0.5369168387384267
ABCA5,3738318.131411556,1.2543421678309206,0.35734476405652355,4.055149030797219,5.0102348631250465e-05,0.000393372894724768
ABCA6,4022445.3722064057,3.5976989766915235,0.5613802913660169,5.882572185878486,4.039390678419524e-09,1.0914577509958505e-07
