ProteinID,Genes,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6
A0A024RBG1,NUDT4B,25041.2,17945,36226.2,37121.5,25868.1,38937.4
A0A087WTH1,TMEM265,19656.7,18691.3,28129.8,22632.4,50395.9,30470.7
A0A096LP01,SMIM26,26963.2,38358.7,42519.2,31011.5,34930.4,56266.9
A0A0B4J2D5,GATD3,508349,473921,484850,510177,668576,384868
A0A0B4J2F0,PIGBOS1,36354.2,38153.1,18748.3,37315,40819.8,12844.7
A0A0K0K1C4,TRBV27,,99417.1,87393,,,
A0A0U1RQG5,CT47A12,,,,5500.45,5377.05,2640.17
A0A0U1RRE5,NBDY,147300,208530,124649,192793,271296,101492
A0A2Z4LIS9,FOXO3B,6619.37,10443.3,7788.29,8679.77,13617,11069.3
A0A3B3IRV3,MCTS2,125299,119098,101511,107559,114951,125413
A0A494C1R9,TSPY1,112294,102044,106641,105328,137180,119031
A0A7P0TAN4,LOC122539214,,,1942.36,,2637.75,2006.63
A0AV02,SLC12A8,47675.2,57461.4,48416.7,47044.6,58244.3,50791.8
A0AV96,RBM47,97942.7,97096.2,99558.1,92217.9,99664.5,113644
A0AVF1,IFT56,42361.1,43365.3,41622.4,39791.3,36516.2,38005.4
A0AVK6,E2F8,30896.3,29933.3,33201.3,18508.9,30603.6,30054.9
A0AVT1,UBA6,548154,555257,519746,531331,486761,537365
A0FGR8,ESYT2,138459,142659,135292,127330,121297,123446
A0JLT2,MED19,82612.1,76098.4,104062,95682.1,154513,76186
A0JNW5,BLTP3B,35724.1,38585.3,38529.6,40832.9,36743.2,41815.2
A0MZ66,SHTN1,308681,330712,349868,498709,559105,325793
A0PJW6,TMEM223,84480.8,78622.7,81672.5,75683.6,80214,74935.3
A0PK00,TMEM120B,11391.5,11642.8,10149.2,15590.2,14731.5,11686
A1A4S6,ARHGAP10,58516.9,61859.4,57259.9,59621.8,63949.6,55925.1
A1A5D9,BICDL2,3418.5,2039.03,5617.66,6601,7889.66,2651.44
A1L0T0,ILVBL,255727,250800,237208,220521,221664,225327
A1L188,NDUFAF8,5310.72,9731.71,9670.86,15661.6,22844.7,11653.2
A1L390,PLEKHG3,75062,73219.9,71832.8,85298.8,115625,72807.9
A1L3X0,ELOVL7,35625.8,39173.4,29720.3,,,
A1X283,SH3PXD2B,243151,236623,214885,250098,253516,226487
A2AJT9,BCLAF3,4417.9,,,9481.7,8477.81,
A2RRP1,NBAS,32679.5,33882.4,33071.1,28703.4,31447.5,25823.5
A2RTX5,TARS3,27133.1,31535.6,32040.2,29397.3,33879.4,22010.1
A2RU14,TMEM218,28775.6,28034.5,28705.5,31318.4,47550.9,
A2RU67,FAM234B,13605.4,20853.4,23861.8,20393.1,18804.6,9388.5
A2RUC4,TYW5,71401.4,82151,76241,61393.4,76892.1,77914
A2RUS2,DENND3,259847,263592,216688,186868,205807,141891
A3KMH1,VWA8,181580,173545,175322,145461,140727,144461
A3KN83,SBNO1,135342,142992,152911,143609,144623,156063
A4D126,CRPPA,90797.2,67459.4,38435,,,33353.2
A4D1E9,GTPBP10,119440,119964,125076,132464,126687,130317
A4D1P6,WDR91,99278.7,116095,103346,114289,94336,97065.9
Q86XR8,CEP57,20376.4,20222.1,21892,17752.2,17992.7,15497.7
Q86XZ4,SPATS2,60826.4,65095.8,62614.5,74362.9,78554.9,68514.3
Q86Y07,VRK2,80819.7,84620.6,80170.7,61548.5,71312,79471.6
Q86Y13,DZIP3,188793,166086,213013,197190,167592,194576
Q86Y37,CACUL1,140499,129290,124920,148744,150344,124841
Q86Y39,NDUFA11,315529,301234,272686,302815,275763,232465
Q86Y56,DNAAF5,783693,758867,809301,849144,814254,914141
Q86Y79,PTRH1,88349.5,74526.7,54716.5,65613.6,74532.7,87984.8
Q86Y82,STX12,176108,215597,177073,322821,468484,193961
Q86Y91,KIF18B,18216.5,25398.3,26046.8,16919.3,18975.3,31891.4
Q86Y97,KMT5C,20745,18421.1,18556.8,21141,13367.2,9412.38
Q86YA3,ZGRF1,8874.1,16512.8,11229.1,25257.6,16879.2,
Q86YB8,ERO1B,91402.6,90393.1,73795.9,59567.7,58200.9,57601.8
Q86YD1,PTOV1,12288.2,16288,16132.5,10431.3,14212.5,13557.4
Q86YD5,LDLRAD3,8879.19,14652.8,12093.6,19830.6,24722.3,12428.8
Q86YH6,PDSS2,26380,25604.3,26621.5,25187.5,28204.5,26273.1
Q86YL5,TDRP,40939.2,48913,50589.2,55889.5,96615.9,39307.3
Q86YL7,PDPN,10891.9,10898.6,10955.3,16107.2,26526.7,7593.09
Q86YM7,HOMER1,44606.9,43439.2,47452.2,61185.7,67922.4,48685
Q86YN1,DOLPP1,80396.8,72244.1,90612.8,75234.9,84749.8,77194.9
Q86YP4,GATAD2A,279105,302428,318067,305771,326856,338652
Q86YQ8,CPNE8,9573.97,8296,18501,9233.12,13148.3,4941.8
Q86YR5,GPSM1,51457.2,48121.4,43626.6,53747.3,58741.1,43763.4
Q86YS6,RAB43,142893,145075,135812,142035,136949,135601
Q86YS7,C2CD5,162663,165219,170882,153667,152483,140346
Q86YT6,MIB1,41943.6,35651.9,41634.9,40814.8,43993.6,41283
Q86YV5,PRAG1,28383.8,26989.3,30104.1,40533.9,48730.9,34405.3
Q86YV9,HPS6,77439.7,79875.3,83283.5,77520,69522.9,83895
Q86YZ3,HRNR,15452.4,8953.2,15076.9,32414.3,17408.7,9070.58
Q8IU60,DCP2,24182.6,20678.2,26419.4,28711.2,26644.2,28734.8
Q8IU81,IRF2BP1,71089,69436.5,69939.1,59800.1,67403.1,62954.5
Q8IUC4,RHPN2,28995.9,24873,28453.4,31102.4,34258.8,30995.9
Q8IUC6,TICAM1,20059.7,19472.1,17721.9,15699.1,22184.7,19695.3
Q8IUD2,ERC1,102871,96165.1,75493.8,95584.3,110778,111947
Q8IUE6,H2AC21,4.02E+06,4.16E+06,3.18E+06,2.52E+06,2.25E+06,3.27E+06
Q8IUF1,ZNG1B,115284,113168,138257,144206,138568,134483
Q8IUF8,RIOX2,282343,271654,274677,256439,244595,268806
Q8IUH3,RBM45,161112,150775,169753,164788,149118,155384
Q8IUH4,ZDHHC13,95318.2,90726.6,86531.6,91323.6,87914.6,74537.4
Q8IUH5,ZDHHC17,30101.1,29689.4,27308.2,12872.1,16598.5,23122.4
Q8IUI8,CRLF3,61696.5,56502.2,64861.7,72891.5,71920.8,68455.4
Q8IUR0,TRAPPC5,210547,214634,233060,207490,187234,196452
Q8IUR7,ARMC8,209310,215685,218314,196638,191530,230310
Q8IUS5,EPHX4,62752.2,56540.6,55598.3,52825.8,57939.1,59375.2
Q8IUW5,RELL1,98426.6,107738,121783,125538,135874,103366
Q8IUX1,TMEM126B,89345,84863.9,90986.2,77806.5,74613.5,90291.4
Q8IUX4,APOBEC3F,46592.5,57109.2,35158.4,33960.8,33107.2,23489.1
Q8IUZ5,PHYKPL,437952,468697,297730,478767,303555,265240
Q8IV08,PLD3,96829.6,94486.3,70927.1,69235,61920.1,47273.9
Q8IV36,HID1,19616.5,13608.6,22574.2,24204.7,10045.3,12117
Q8IV38,ANKMY2,98023,99757.3,89714.1,106045,111127,96917.9
Q8IV48,ERI1,104470,94283.8,103692,96684.6,88957.6,103085
Q8IV50,LYSMD2,135504,150119,162720,220936,361544,171272
Q8IV56,PRR15,64034,59429.1,59927.9,51297.3,103451,31164.5
Q8IV63,VRK3,,6409.34,13033.7,6229.26,12588.4,10666.2
Q8IVC4,ZNF584,29066.9,24798.5,30848.5,18409.9,18590.8,20002
Q8IVD9,NUDCD3,202859,222524,230705,224575,219768,179469
Q8IVF2,AHNAK2,2.97E+06,3.35E+06,2.95E+06,3.57E+06,5.42E+06,2.38E+06
