Genes,ID,pvalue,padjust,log2foldchange
NUDT4B,A0A024RBG1,0.024069683,0.0851,0.286
TMEM265,A0A087WTH1,0.041116279,0.12,0.391
SMIM26,A0A096LP01,0.40466,0.569,0.104
GATD3,A0A0B4J2D5,0.872995596,0.926,0.0155
PIGBOS1,A0A0B4J2F0,0.738777916,0.834,-0.0501
CT47A12,A0A0U1RQG5,8.50E-05,0.00413,1.28
NBDY,A0A0U1RRE5,0.471817572,0.627,0.0986
FOXO3B,A0A2Z4LIS9,0.011424708,0.0523,0.314
MCTS2,A0A3B3IRV3,0.963129674,0.979,-0.0042
TSPY1,A0A494C1R9,0.155546529,0.298,0.107
SLC12A8,A0AV02,0.814047464,0.887,0.0118
RBM47,A0AV96,0.731049349,0.829,0.0209
IFT56,A0AVF1,0.031715957,0.101,-0.118
E2F8,A0AVK6,0.096541409,0.213,-0.203
UBA6,A0AVT1,0.496777903,0.649,-0.0404
ESYT2,A0FGR8,0.020862673,0.0776,-0.124
MED19,A0JLT2,0.402851292,0.567,0.148
BLTP3B,A0JNW5,0.336601786,0.503,0.0622
SHTN1,A0MZ66,0.031448655,0.1,0.315
TMEM223,A0PJW6,0.09670559,0.213,-0.0697
TMEM120B,A0PK00,0.002588565,0.0214,0.246
ARHGAP10,A1A4S6,0.85929997,0.916,0.00612
BICDL2,A1A5D9,0.34370704,0.509,0.386
ILVBL,A1L0T0,0.038434307,0.115,-0.119
NDUFAF8,A1L188,0.004811665,0.0313,0.747
PLEKHG3,A1L390,0.024236791,0.0854,0.197
ELOVL7,A1L3X0,4.06E-06,0.00112,-0.939
SH3PXD2B,A1X283,0.273044152,0.437,0.045
NBAS,A2RRP1,0.003454994,0.0253,-0.172
TARS3,A2RTX5,0.438596525,0.599,-0.0712
TMEM218,A2RU14,0.845771406,0.906,-0.0444
FAM234B,A2RU67,0.449854652,0.61,-0.195
TYW5,A2RUC4,0.322754343,0.488,-0.066
DENND3,A2RUS2,0.000441638,0.00832,-0.375
VWA8,A3KMH1,0.000653167,0.0101,-0.235
SBNO1,A3KN83,0.534081974,0.679,0.0276
CRPPA,A4D126,0.009882966,0.0479,-1.14
GTPBP10,A4D1E9,0.137170062,0.274,0.0671
WDR91,A4D1P6,0.659530853,0.775,-0.0352
KLRG2,A4D1S0,0.005436092,0.0337,0.42
DENND11,A4D1U4,0.594588573,0.727,-0.11
MBLAC1,A4D2B0,0.050463274,0.138,0.149
MTMR11,A4FU01,7.32E-06,0.00138,-0.644
VPS37C,A5D8V6,0.156154508,0.299,0.255
PEDS1,A5PLL7,0.036049916,0.11,0.119
TRAPPC13,A5PLN9,0.104167948,0.225,0.0969
CNOT1,A5YKK6,0.606605238,0.736,-0.0282
ARHGEF35,A5YM69,0.153111304,0.295,0.456
MAP1LC3B,A6NCE7,0.000244322,0.00628,0.611
FAM83G,A6ND36,0.000492647,0.00871,0.243
PGP,A6NDG6,0.022525635,0.0814,0.114
RIMOC1,A6NDU8,0.018518635,0.0715,0.176
RCCD1,A6NED2,0.000764082,0.0106,-0.336
FAM181B,A6NEQ2,0.738092849,0.834,-0.122
ZNF316,A6NFI3,0.083880816,0.193,-0.147
GGT1,A6NGU5,0.709265545,0.812,0.0996
TUBAL3,A6NHL2,0.381544955,0.545,-0.16
SMCHD1,A6NHR9,0.196846407,0.349,-0.051
MANSC4,A6NHS7,0.638573278,0.759,-0.0339
CASTOR2,A6NHX0,0.015619891,0.0643,0.184
ARHGAP42,A6NI28,0.33404402,0.5,-0.176
UNC119B,A6NIH7,0.018896082,0.0723,-0.146
RAP1B,A6NIZ1,0.003876461,0.0272,0.205
METTL15,A6NJ78,0.085732097,0.196,0.142
CCDC85C,A6NKD9,0.767467365,0.854,-0.0396
SAC3D1,A6NKF1,0.166849025,0.312,0.0937
CGB1,A6NKQ9,0.013649984,0.0588,-0.355
ZFP92,A6NM28,0.040724112,0.119,-0.181
C15orf61,A6NNL5,0.466868591,0.623,0.0888
ABTB3,A6QL63,0.309903776,0.475,-0.054
